"","popularity","dcluster","ent","r_ent","cluster1","cluster2","cluster3","timeWwa","income","lifestd","sportint","football","age","civic","resmob","soccont","attgen","attgiven","attdiscovered","attnoatt","tvinfo","tvlowbrow","tvhighbrow","tvpop","tvcons","moviesepic","movieshigh","movieslight","bookshigh","bookslow","booksknow","booksfant","pressgen","pressknow","presscons","presslib","pressspec","musichigh","musicmodern","musicrock","musicafro","cultcap","lifestab","wealth","can1","can2"
"chwila_da_klub",7,"Wolne_Zawody",0.591672778582327,0.591672778582327,NA,0.857142857142857,0.142857142857143,9.57142857142857,0.714285714285714,3,3.14285714285714,2.14285714285714,22.5714285714286,3.14285714285714,33.8571428571429,16.5714285714286,33.2857142857143,2.21428571428571,3.5,2.83333333333333,-0.405513175970425,-0.194645411691371,0.458667118711294,0.515020471484041,0.474704277213426,0.604651140507631,-0.102527378695043,0.218547029021129,0.704787154166474,0.169720866271125,0.250920131205016,0.300478752458956,0.350615847235494,0.507191065891326,0.293120582218985,0.538621145295123,0.605697458734135,0.393442551746239,-0.826544343460841,0.107458233434984,0.101193691797821,0.0539056074499269,0.0604168431418659,-0.432652187345232,-1.58691496217648,0.37969275296952
"la_cantina",1,"Wolne_Zawody",0,0,NA,NA,1,4,2,3,3,3,23,6,30,20,28,1,3.33333333333333,3.16666666666667,-0.496269089431808,-0.231494329535411,1.32409274276427,-0.249555082831094,1.06358752938909,-0.375425779264207,0.139205914273702,0.970861060194886,-0.337256242183479,-0.495651185558058,0.20277099096692,-0.381554613799642,-0.0766009434052106,-0.827742733205678,0.672484373781721,-0.0753942754095603,-0.400961513248727,1.09632891975446,-1.09739725430888,-0.101298586278862,1.22969746476986,-0.282806917188249,0.525850720837188,-0.410747476877605,-1.83939572619158,-0.0662595576330925
"tygmont",3,"Studenci",0.91829583405449,0.91829583405449,NA,0.333333333333333,0.666666666666667,3.66666666666667,1.33333333333333,3.33333333333333,3.66666666666667,3.66666666666667,20.3333333333333,2.66666666666667,35.3333333333333,17,31.3333333333333,2.16666666666667,3.38888888888889,2.88888888888889,0.71485095942775,-0.0749720944160775,0.604851066528092,0.345604793690866,1.02557289094407,-0.121283256185193,0.399718039182488,-0.0580713846386363,-0.225721435565122,0.158145449111555,-0.138836758775744,-0.687184390359672,0.344355670982872,-0.159126572393797,0.89997269851572,0.228894310168144,0.305994936198774,0.64163362045228,-0.770089098626835,0.123448597944041,0.897949618978056,-0.328268962947335,0.324627561680548,-0.163428174457009,-0.544870451056084,1.03749121599886
"tor_kartingowy_modularna",1,"Wolne_Zawody",0,0,NA,NA,1,4,2,3,3,3,23,6,30,20,28,1,3.33333333333333,3.16666666666667,-0.496269089431808,-0.231494329535411,1.32409274276427,-0.249555082831094,1.06358752938909,-0.375425779264207,0.139205914273702,0.970861060194886,-0.337256242183479,-0.495651185558058,0.20277099096692,-0.381554613799642,-0.0766009434052106,-0.827742733205678,0.672484373781721,-0.0753942754095603,-0.400961513248727,1.09632891975446,-1.09739725430888,-0.101298586278862,1.22969746476986,-0.282806917188249,0.525850720837188,-0.410747476877605,-1.83939572619158,-0.0662595576330925
"british_buldog_pub",2,"Kulturalnie_wycofani",1,1,NA,0.5,0.5,11,0.5,3.5,1,1.5,20.5,2.5,28,13,41,3.25,3.5,2.66666666666667,-0.0482572032660698,-1.05291935420057,0.536610728962609,-1.05197137941733,-0.503121234155526,0.959529014958562,-1.35642257718395,-1.01476047048609,1.28834235814434,-0.317725017932528,-1.59732397048227,0.236707321102824,-0.434016268400993,1.26908420713613,-0.65404336853569,-0.965413605608248,0.766920445472446,0.369025592669052,0.139524082302897,0.329954566696453,-1.77221357897592,0.057060639540587,-0.207765395356513,-0.248105947771893,-0.130222870812175,-1.32940504833121
"plac_grzybowski",1,"Wolne_Zawody",0,0,NA,NA,1,19,0,3,1,2,19,3,16,4,43,4,3.66666666666667,1.66666666666667,0.49071621641697,0.509776614439904,-0.101506321385711,0.562611612537928,0.674795215119173,1.07325125180318,0.278021842331285,-1.24085760893007,1.27340642178183,-0.000230708527720447,0.184830764476766,0.365244149546793,0.302939711181596,0.887476667689912,0.359797576823682,0.491298591217243,1.03392587182614,-0.360947441762873,-0.744128039316565,1.54516391187351,-1.39497737128882,-0.458485745338559,-0.675105375507499,-0.1568596429886,-0.105733580524907,0.843659556169087
"vincent_cafe",1,"Kulturalnie_wycofani",0,0,NA,NA,1,4,1,3,2,1,22,1,20,14,32,1.5,4,3,-2.17988035380104,-1.39571505372285,-2.12608936243966,-2.06021455028167,-0.212071062606245,-0.487676995525267,-0.716155261363051,-2.02504114418112,0.391454421156412,-1.26417556124916,0.336015650463233,-0.80700034180713,-1.78270578256179,0.126022183682103,-1.71240191836986,-2.24433471837316,0.397346787946671,-0.727320990213453,0.331661575448837,-1.13465600722787,-1.88073528525851,-0.406365046799018,-0.488739308663507,-0.514952463188483,1.62248775185107,-2.32430317592301
"vega",1,"Kulturalnie_wycofani",0,0,NA,NA,1,4,1,3,2,1,22,1,20,14,32,1.5,4,3,-2.17988035380104,-1.39571505372285,-2.12608936243966,-2.06021455028167,-0.212071062606245,-0.487676995525267,-0.716155261363051,-2.02504114418112,0.391454421156412,-1.26417556124916,0.336015650463233,-0.80700034180713,-1.78270578256179,0.126022183682103,-1.71240191836986,-2.24433471837316,0.397346787946671,-0.727320990213453,0.331661575448837,-1.13465600722787,-1.88073528525851,-0.406365046799018,-0.488739308663507,-0.514952463188483,1.62248775185107,-2.32430317592301
"fnf_dance_studio",1,"Kulturalnie_wycofani",0,0,NA,NA,1,4,1,3,2,1,22,1,20,14,32,1.5,4,3,-2.17988035380104,-1.39571505372285,-2.12608936243966,-2.06021455028167,-0.212071062606245,-0.487676995525267,-0.716155261363051,-2.02504114418112,0.391454421156412,-1.26417556124916,0.336015650463233,-0.80700034180713,-1.78270578256179,0.126022183682103,-1.71240191836986,-2.24433471837316,0.397346787946671,-0.727320990213453,0.331661575448837,-1.13465600722787,-1.88073528525851,-0.406365046799018,-0.488739308663507,-0.514952463188483,1.62248775185107,-2.32430317592301
"ursynów",3,"Kulturalnie_wycofani",0,0,NA,NA,1,7.33333333333333,0.666666666666667,3.66666666666667,3,1,22.3333333333333,2,25,16,30.6666666666667,1.66666666666667,3.38888888888889,3.72222222222222,-0.937432737538878,-1.25302225038278,-0.0912365113109239,-1.66577311402305,-0.779003728369533,-0.349574424608155,-0.808154079332221,-1.2712033739857,-0.504648458230433,-1.02510615445022,0.558372236284406,0.137399502070414,-0.72464930162329,0.0716639648232485,-0.778169246589454,-1.1941874532233,0.242597100924714,0.512873867159838,0.787237644477618,0.141025834267261,-0.0251717491076455,-0.322154980135481,-0.542241653841281,0.0985785116939824,0.926425324828832,-2.22983139819079
