"id","marital","timeWwa","dog","edu","eduprog","edutime","worktime","fatheredu","motheredu","grandedu","income","lifestd","cars","hometype","homestatus","tv","tablet","internetuse","tvtime","moviefreq","movie30","bookfreq","book12","pressfreq","musicfreq","theater","opera","cinema","art","livemusic","club","sportshow","sportint","football","trainfreq","trainfav","bookquant","cdquant","artquant","age","ISCObroad","incomeclass","civic","resmob","soccont","attgen","attgiven","attdiscovered","attnoatt","tvinfo","tvlowbrow","tvhighbrow","tvpop","tvcons","moviesepic","movieshigh","movieslight","bookshigh","bookslow","booksknow","booksfant","pressgen","pressknow","presscons","presslib","pressspec","musichigh","musicmodern","musicrock","musicafro"
107,"nf_rel","4","no","<=highschool+tech","soc/beh","fl_edu","no_job","high","high","high","2","4","no_car","apartment","own","no_tv","no_tablet","no_blog/web",0,"rarely",5,"sometimes",7,"sometimes","not_everyday","regularly","rarely","regularly","sometimes","sometimes","never","never","1","1","never","no_sport","hundreds","hundreds","few","23","no_job","mid/high",2,28,19,26,1,3.33333333333333,3.66666666666667,-1.33499604042956,-1.10315337020031,-0.894040112942628,-1.38377069270058,-0.902730233607004,-0.349800611059283,1.19429857139706,-0.424107696874081,0.209557139737459,-0.901824290387713,0.146793269978444,-1.91502532425846,-0.599635601705733,-0.98553070084697,-1.76367313663408,0.0479278391447303,-1.29620767913147,0.38185208797052,-1.07855442547871,1.08672210894788,-0.0695099445371789
108,"single","27","no","<=highschool+tech","no_uni_edu","fl_edu","no_job","<=med","<=med","don't_know","0","1","no_car","apartment","other","no_tv","no_tablet","no_blog/web",0,"rarely",0,"rarely",3,"rarely","everyday","rarely","never","rarely","rarely","rarely","never","never","1","1","never","no_sport","tens","tens","zero","27","no_job","low",0,10,1,25,1,3.66666666666667,4.16666666666667,0.313819284878422,-2.15510612967944,0.387376063168341,-0.249555082831094,1.06358752938909,-2.67494299657664,-1.16225191141527,0.805135130778207,-1.82382528742404,1.06219603614543,-0.785453990443999,1.21515918893668,-2.03211417861769,-0.464481577474718,0.882631251358118,-0.0965548150730458,-0.453684664055002,-1.47392430504537,-0.206515697344217,1.84690818295842,-1.05662817318423
109,"single","25","no","MA+","soc/beh","fl_edu","flexible","high","high","<=med","2","4","no_car","apartment","rent","no_tv","tablet","no_blog/web",3,"sometimes",2,"often",20,"often","everyday","regularly","rarely","sometimes","sometimes","sometimes","rarely","rarely","2","2","sometimes","ind","tens","tens","zero","25","high:mng/pro/self","mid/high",6,29,23,40,3.5,3.83333333333333,3.33333333333333,-0.0546492815148287,0.711171496961828,-1.15740069964639,1.0979430844288,0.298446093395844,-0.235687209692629,0.228277799611049,0.725169666237729,-0.0727070004637872,0.761392913732979,0.201403282226383,-0.20855750882419,1.23355735930659,-1.12043272254795,-0.0973111969668787,0.619357592425988,-0.830222200973862,0.268766015412448,0.994791474129093,-0.30005086240083,1.39377457881113
110,"nf_rel","8","no","MA+","human/lang","no_fl_edu","flexible","high","high","high","3","4","1car+","apartment","family","tv","no_tablet","no_blog/web",3,"sometimes",5,"often",30,"sometimes","everyday","rarely","rarely","sometimes","sometimes","sometimes","never","regularly","3","3","regularly","rival","hundreds","hundreds","tens+","27","high:mng/pro/self","mid/high",4,39,24,37,2,4.5,3,-0.67292717755945,0.267648543564691,1.46254828629961,-0.0687841300898813,-0.751188842657033,0.525423307300131,-0.688645612766406,1.99616496881513,0.418237555263659,0.785485815476476,1.20243507851163,1.20562805297395,0.189444445790125,1.43413991242695,-0.886917369375962,0.598931024681687,-0.200854118061501,0.679656285370327,-0.228990508595225,1.68463823952459,-1.80400073137803
111,"married","28","no","MA+","STEM/med","fl_edu","full","high","<=med","high","2","3","no_car","apartment","family","tv","no_tablet","no_blog/web",3,"often",10,"rarely",1,"often","not_everyday","rarely","never","sometimes","sometimes","sometimes","sometimes","never","4","2","regularly","ind","tens","hundreds","tens+","28","high:mng/pro/self","mid/high",6,34,19,36,3,2.83333333333333,2.16666666666667,0.642579321634869,-0.812579785148347,0.991759785309568,-1.32558698969841,0.817436240620477,1.07512370806077,0.254219273727171,1.85558947400002,0.764720887226721,-0.585790662168452,1.04876390917272,1.0230849368009,0.410283352512334,-0.664061874921443,1.14412551219669,0.815733979578847,0.481864480557902,0.486610255338089,0.0606391585050342,0.407100401839827,0.524481343528389
112,"single","7","no","BA","soc/beh","no_fl_edu","full","<=med","<=med","<=med","4","3","no_car","apartment","rent","no_tv","no_tablet","no_blog/web",1,"rarely",3,"sometimes",15,"often","everyday","regularly","never","regularly","sometimes","sometimes","regularly","rarely","2","1","sometimes","run","tens","few","few","27","high:mng/pro/self","mid/high",1,39,20,32,1,4.16666666666667,3.5,-0.0145241862016507,0.325725255500003,-0.071758876960148,0.333849766563483,0.575237330946101,-0.00300106384017931,0.608315275796213,-0.637304234105789,-0.0718473067708953,1.48155284118796,0.705734124174569,0.181780702002689,0.373983045158492,0.4756155416822,0.582210303628211,0.972017770623532,0.311425782673749,0.716634167261996,0.44133327357514,-0.120999774307372,0.782051911061988
113,"nf_rel","28","yes","BA","law/biz/menag","no_fl_edu","full","<=med","<=med","<=med","2","2","1car+","apartment","rent","tv","no_tablet","no_blog/web",10,"often",15,"often",15,"rarely","everyday","rarely","rarely","sometimes","regularly","sometimes","rarely","rarely","5","4","regularly","rival","tens","tens","few","28","high:mng/pro/self","mid/high",5,38,18,43,2.5,4.83333333333333,3,-0.861715612068142,0.877667254822083,-0.583575583174751,0.719653755271515,-0.341199662105199,-0.853701139260766,0.614405623045755,1.10987211719245,-0.418002918730144,0.72744767732964,0.0458673874522461,1.07353629498012,0.757679324376684,0.000594363905881301,-1.20137027006218,-0.642701785207725,0.542979638181369,0.129914610343013,0.959553310206473,0.851370213066563,0.778217412886836
114,"single","31","no","MA+","human/lang","no_fl_edu","flexible","high","high","high","2","4","1car+","apartment","family","no_tv","no_tablet","no_blog/web",0,"sometimes",6,"often",15,"often","everyday","rarely","rarely","sometimes","sometimes","rarely","rarely","rarely","2","2","regularly","ind","hundreds","tens","tens+","31","high:mng/pro/self","mid/high",4,39,20,44,3,4.5,2,1.02217972946761,0.853627408371322,-0.455812917775262,0.802518637027906,-0.205809309043966,0.212122414872779,0.190189087988511,1.24905974994244,-0.461557014005017,0.150876264755512,-0.190888663646133,1.27200542998409,1.03662729167234,0.64264001294658,-0.459344363659663,1.65003913608425,0.268737605626838,0.709035074637881,-0.299190004758655,1.23480720170382,-0.201082260051873
115,"married","5","no","<=highschool+tech","STEM/med","no_fl_edu","full","high","high","high","3","3","no_car","apartment","rent","tv","no_tablet","no_blog/web",0,"rarely",0,"often",21,"rarely","not_everyday","rarely","never","sometimes","sometimes","sometimes","rarely","rarely","3","3","regularly","rival","hundreds","tens","few","26","high:mng/pro/self","mid/high",0,27,11,24,1.5,2.33333333333333,2.83333333333333,-1.18820249657646,-0.468537572459537,-1.90002511822801,-0.49563062237805,0.142134039004187,-0.15671892712793,-1.32527435069556,-0.0318093374510346,-0.464075092774185,0.53334208929295,-0.222170441380213,0.470020232140598,-0.560377709244713,0.327414371243924,-1.24423407253366,-0.0447176051674366,-0.118512492941211,-0.374384591931045,-0.623826747477687,1.83723463859446,-0.258072600118251
116,"nf_rel","8","no","MA+","human/lang","no_fl_edu","flexible","high","high","high","1","2","no_car","apartment","rent","tv","no_tablet","blog/web",3,"often",2,"often",4,"sometimes","everyday","rarely","never","rarely","sometimes","rarely","never","regularly","2","2","regularly","ind","hundreds","hundreds","tens+","24","high:mng/pro/self","low",0,33,24,37,2,3.83333333333333,3.16666666666667,-0.707891637741604,-0.680395421305324,0.70109989120731,-2.16489458951623,-0.96374110383396,-1.2212232586897,-0.689178701910712,2.16385517660335,-0.642741303644099,0.756673913047249,0.747486233546538,1.75890184481485,-2.06537784032926,1.67597214046517,-1.57401296894474,-2.3304115932555,-1.25916966560573,0.67567096991828,0.031393260053677,1.56076682502232,-2.37628034710431
